NOM_SCIENTIFIQUE;Humidité_atmosphérique;Humidité_édaphique;Réaction_du_sol_(pH);Lumière;Texture;Matière_organique;Température;Continentalité;Niveau_trophique;Salinité
Baldellia ranunculoides (L.) Parl.;9;9;5;8;4;9;6;3;3;1
Baldellia repens (Lam.) Ooststr. ex Lawalrée;9;9;5;8;4;9;6;3;3;1
Baldellia repens subsp. cavanillesii (Molina Abril, A.Galán, Pizarro & Sard.Rosc.) Talavera;9;9;5;8;4;9;6;3;3;1
Ballota nigra L.;5;5;7;7;2;3;6;7;8;0
Ballota nigra L. subsp. nigra;5;5;7;7;2;3;6;7;8;0
Ballota nigra subsp. foetida (Vis.) Hayek;5;5;7;7;2;3;6;4;8;0
Ballota nigra subsp. uncinata (Bég.) Patzak;4;4;8;8;3;1;8;2;7;0
Barbarea bracteosa Guss.;5;5;6;7;3;3;6;7;7;0
Barbarea intermedia Boreau;7;6;7;8;1;8;6;3;7;0
Barbarea rupicola Moris;6;7;4;8;8;1;2;3;3;0
Barbarea stricta Andrz.;7;6;7;8;1;8;6;5;7;0
Barbarea verna (Mill.) Asch.;6;5;5;8;2;3;6;3;6;0
Barbarea vulgaris W.T.Aiton;7;6;7;8;1;8;6;5;7;0
Bartsia alpina L.;8;8;7;8;1;9;3;5;3;0
Bartsia trixago L.;5;3;3;8;5;4;7;3;2;1
Bassia hyssopifolia (Pall.) Kuntze;7;5;8;9;4;1;8;1;8;8
Bassia laniflora (S.G.Gmel.) A.J.Scott;3;2;8;9;4;1;6;7;1;0
Bassia prostrata (L.) Beck;4;7;7;9;4;2;9;2;6;8
Bassia scoparia (L.) Voss;5;5;7;8;3;2;5;7;7;0
Bellardiochloa variegata (Lam.) Kerguélen;5;5;2;8;5;5;2;4;2;0
Bellevalia ciliata (Cirillo) Nees;6;7;6;8;3;8;8;3;5;0
Bellevalia romana (L.) Rchb.;6;7;6;8;3;8;8;3;5;0
Bellevalia trifoliata (Ten.) Kunth;4;4;8;8;3;2;8;3;5;0
Bellidiastrum michelii Cass.;9;7;7;7;1;9;3;7;4;0
Bellis annua L.;7;7;5;8;4;2;9;3;3;0
Bellis bernardi Boiss. & Reut.;8;8;3;8;1;9;3;3;2;0
Bellis perennis L. ;5;5;5;7;3;3;5;5;6;0
Bellis rotundifolia (Desf.) Boiss. & Reut.;3;5;8;8;3;2;8;3;5;0
Bellis sylvestris Cirillo;4;4;8;7;3;2;8;3;3;0
Bellium bellidioides L.;6;5;3;7;4;5;6;2;2;0
Bellium nivale Req.;8;8;3;8;1;9;3;3;2;0
Berardia lanuginosa (Lam.) Fiori;4;4;8;8;4;1;1;8;3;0
Berberis aetnensis C.Presl;5;2;5;8;5;5;4;3;4;0
Berberis aquifolium Pursh;4;5;7;8;3;2;5;5;5;0
Berberis vulgaris L.;5;5;8;8;3;2;5;6;4;0
Berteroa incana (L.) DC. ;4;4;6;9;3;2;6;7;6;0
Berula erecta (Huds.) Coville;9;9;7;6;1;9;5;4;5;0
Berula erecta (Huds.) Coville écoph. rhéophile;9;12;6;7;3;9;5;5;5;0
Beta macrocarpa Guss.;6;5;8;9;4;3;6;1;8;5
Beta trigyna Waldst. & Kit.;4;4;7;7;3;2;6;8;6;0
Beta vulgaris L. ;4;4;8;7;3;2;7;4;8;0
Beta vulgaris L. subsp. vulgaris;4;4;8;7;3;2;7;4;8;0
Beta vulgaris subsp. maritima (L.) Arcang.;6;6;8;9;4;3;6;1;8;6
Betonica alopecuros L.;5;5;8;7;3;2;2;7;3;0
Betonica alopecuros L. subsp. alopecuros;5;5;8;7;3;2;2;7;3;0
Betonica alopecuros subsp. godronii (Rouy) M.Laínz;5;5;8;7;3;2;2;7;3;0
Betonica hirsuta L.;5;4;8;7;3;2;3;4;4;0
Betonica officinalis L.;5;6;5;6;3;4;5;5;3;0
Betonica officinalis L. subsp. officinalis;5;6;5;6;3;4;5;5;3;0
Betula nana L.;8;8;2;7;1;9;3;6;2;0
Betula pendula Roth;4;5;4;8;4;5;5;5;3;0
Betula pubescens Ehrh.;9;9;4;7;1;8;5;5;3;0
Betula pubescens Ehrh. var. pubescens;9;9;4;7;1;8;5;5;3;0
Betula x aurata Borkh. [Betula pendula Roth x Betula pubescens Ehrh.];6;6;3;8;2;4;5;5;3;0
Betula x fennica Dörfl. [Betula nana L. x Betula pendula Roth];8;8;2;7;1;9;3;6;2;0
Betula x intermedia (Hartm.) E.Thomas ex Gaudin [Betula pubescens Ehrh. subsp. pubescens x Betula nana L.];8;8;2;7;1;9;3;6;2;0
Bidens aristosa (Michx.) Britton;7;7;7;8;2;3;7;5;7;0
Bidens aurea (Aiton) Sherff;7;7;7;8;1;3;5;5;8;0
Bidens bipinnata L.;4;4;7;7;3;2;8;4;8;0
Bidens cernua L.;7;7;7;8;1;3;5;5;8;0
Bidens connata Mühl. ex Willd.;7;7;7;8;1;3;5;5;8;0
Bidens frondosa L.;7;8;7;8;2;3;6;5;7;0
Bidens pilosa L.;7;7;7;9;1;3;8;3;8;0
Bidens radiata Thuill.;7;7;7;8;1;3;6;5;8;0
Bidens subalternans DC.;7;8;7;8;2;3;7;5;7;0
Bidens tripartita L.;8;8;7;7;2;3;6;5;8;0
Bidens tripartita L. subsp. tripartita;8;8;7;7;2;3;6;5;8;0
Bidens tripartita subsp. bullata (L.) Rouy;8;8;7;8;2;3;6;5;8;0
Bidens tripartita subsp. comosa (A.Gray) A.Haines;7;7;7;8;2;3;6;5;7;0
Bidens vulgata Greene;7;7;7;8;1;3;5;5;8;0
Bifora radians M.Bieb.;4;4;9;7;3;2;7;4;6;0
Bifora testiculata (L.) Spreng.;4;4;8;8;3;2;8;3;6;0
Biscutella ambigua DC.;3;4;7;8;3;1;8;3;2;0
Biscutella apricorum Jord.;3;3;3;8;6;1;8;3;2;0
Biscutella arvernensis Jord.;5;5;3;6;6;1;2;4;2;0
Biscutella brevicaulis Jord.;3;3;8;8;7;1;2;8;2;0
Biscutella cichoriifolia Loisel.;3;4;7;8;5;1;6;4;3;0
Biscutella didyma L.;3;4;7;8;3;1;8;3;2;0
Biscutella divionensis Jord.;3;3;8;4;8;1;4;6;3;0
Biscutella eriocarpa DC.;3;4;7;8;3;1;8;3;2;0
Biscutella flexuosa Jord.;5;5;3;8;7;1;2;3;3;0
Biscutella guillonii Jord.;3;3;8;9;3;2;6;3;3;0
Biscutella intermedia Gouan;5;4;4;9;6;1;2;3;4;0
Biscutella laevigata L.;3;4;7;8;3;1;7;4;2;0
Biscutella laevigata L. subsp. laevigata;3;4;7;8;3;1;7;4;2;0
Biscutella laevigata subsp. varia (Dumort.) Rouy & Foucaud;3;3;6;8;5;1;4;5;3;0
Biscutella lamottei Jord.;5;5;4;6;6;1;3;4;2;0
Biscutella lima Rchb.;3;3;6;9;6;1;7;4;4;0
Biscutella mediterranea Jord.;3;4;7;8;3;1;8;3;2;0
Biscutella minor Jord.;3;3;8;8;7;1;2;6;2;0
Biscutella rotgesii Foucaud;4;4;7;7;6;1;8;2;3;0
Biserrula epiglottis (L.) Coulot, Rabaute & J.M.Tison;3;3;7;8;3;2;8;3;4;0
Biserrula epiglottis (L.) Coulot, Rabaute & J.M.Tison f. epiglottis;3;3;7;8;3;2;8;3;4;0
Biserrula pelecinus L.;3;3;3;8;4;4;8;4;6;0
Bistorta officinalis Delarbre;8;7;6;6;1;8;3;6;7;0
Bistorta vivipara (L.) Delarbre;8;6;5;7;1;9;2;5;2;0
Bituminaria bituminosa (L.) C.H.Stirt.;5;5;7;7;2;2;7;4;5;0
Blackstonia acuminata (W.D.J.Koch & Ziz) Domin ;7;7;6;8;4;2;7;3;4;0
Blackstonia acuminata (W.D.J.Koch & Ziz) Domin subsp. acuminata;7;7;6;8;4;2;7;3;4;0
Blackstonia imperfoliata (L.f.) Samp.;7;7;6;8;4;2;7;3;4;0
Blackstonia perfoliata (L.) Huds.;7;7;6;8;4;2;5;4;4;0
Blackstonia perfoliata (L.) Huds. subsp. perfoliata;7;7;6;8;4;2;5;4;4;0
Blackstonia perfoliata subsp. intermedia (Ten.) Zeltner;7;7;6;8;4;2;5;3;4;0
Blitum bonus-henricus (L.) Rchb.;6;5;7;7;2;3;5;5;9;0
Blitum capitatum L.;3;5;7;9;4;3;6;7;7;0
Blitum virgatum L.;3;5;7;9;4;3;6;7;7;0
Blysmus compressus (L.) Panz. ex Link;8;7;7;8;4;8;5;5;5;1
Bolboschoenus glaucus (Lam.) S.G.Sm.;8;8;7;8;1;8;8;3;7;0
Bolboschoenus laticarpus Marhold, Hroudová, Ducháček & Zákr.;8;9;7;8;2;8;6;5;6;0
Bolboschoenus maritimus (L.) Palla;8;9;8;8;1;8;6;2;6;3
Bolboschoenus planiculmis (F.Schmidt) T.V.Egorova;8;9;7;8;1;8;6;7;6;0
Bolboschoenus yagara (Ohwi) A.E.Kozhevn.;8;9;7;8;2;8;6;1;6;3
Bombycilaena erecta (L.) Smoljan.;3;3;9;9;3;2;7;4;2;0
Borago officinalis L.;4;3;6;7;4;3;6;5;6;0
Borago pygmaea (DC.) Chater & Greuter;4;4;7;6;3;2;8;3;7;0
Bothriochloa barbinodis (Lag.) Herter;3;3;8;9;4;1;7;4;6;0
Bothriochloa ischaemum (L.) Keng;3;3;8;9;4;1;7;6;3;0
Bothriochloa laguroides (DC.) Herter;3;3;5;9;4;1;9;1;7;0
Bothriochloa saccharoides (Sw.) Rydb.;3;3;8;9;4;1;7;4;6;0
Botrychium lanceolatum (S.G.Gmel.) Ångstr.;6;5;3;6;4;5;3;4;2;0
Botrychium lunaria (L.) Sw.;5;4;3;8;4;5;4;5;2;0
Botrychium matricariifolium (Retz) W.D.J.Koch;5;5;3;7;4;5;4;4;2;0
Botrychium simplex E.Hitchc.;5;5;1;6;4;5;4;4;2;0
Brachychiton populneus (Schott & Endl.) R.Br.;4;4;5;8;6;1;9;2;5;0
Brachypodium distachyon (L.) P.Beauv.;3;3;7;8;3;2;7;4;3;0
Brachypodium glaucovirens (Murb.) Sagorski;8;8;7;7;1;8;8;3;7;0
Brachypodium phoenicoides (L.) Roem. & Schult.;5;5;7;8;2;2;8;3;5;0
Brachypodium pinnatum (L.) P.Beauv.;5;5;7;5;3;2;5;5;5;0
Brachypodium retusum (Pers.) P.Beauv.;3;4;8;8;3;2;8;4;4;0
Brachypodium rupestre (Host) Roem. & Schult.;5;4;7;7;4;2;6;4;4;0
Brachypodium rupestre (Host) Roem. & Schult. subsp. rupestre;5;4;7;7;4;2;6;4;4;0
Brachypodium sylvaticum (Huds.) P.Beauv.;6;5;6;4;2;3;5;5;6;0
Brassica barrelieri (L.) Janka;3;3;3;8;5;1;6;6;7;0
Brassica elongata Ehrh. ;4;4;8;7;1;2;7;4;3;0
Brassica elongata Ehrh. subsp. elongata;5;3;8;8;5;1;6;4;5;1
Brassica fruticulosa Cirillo;4;4;8;8;3;2;8;3;6;0
Brassica fruticulosa Cirillo subsp. fruticulosa;4;4;8;8;3;2;8;3;6;0
Brassica insularis Moris;5;5;8;6;8;1;5;3;3;0
Brassica juncea (L.) Czern.;7;7;7;8;1;3;6;5;8;0
Brassica montana Pourr.;4;4;8;7;7;1;4;3;4;0
Brassica napus L.;5;6;8;7;3;2;6;5;8;0
Brassica napus L. var. napus;5;6;8;7;3;2;6;5;8;0
Brassica napus var. napobrassica (L.) Rchb.;5;5;7;8;3;2;5;5;8;0
Brassica nigra (L.) W.D.J.Koch;7;7;8;8;4;3;7;3;8;0
Brassica oleracea L.;8;7;7;8;8;3;6;1;6;7
Brassica oleracea L. subsp. oleracea;8;7;7;8;8;3;6;1;6;7
Brassica procumbens (Poir.) O.E.Schulz ;5;5;5;8;3;2;8;3;7;0
Brassica rapa L.;5;5;7;8;3;2;5;5;8;0
Brassica rapa L. var. rapa;5;5;7;8;3;2;5;5;8;0
Brassica rapa var. oleifera DC.;5;5;7;8;3;2;5;5;8;0
Brassica repanda (Willd.) DC.;4;4;8;8;1;1;2;5;4;0
Brassica repanda (Willd.) DC. subsp. repanda;4;4;8;8;1;1;2;8;4;0
Brassica repanda subsp. galissieri (Giraudias) Heywood;4;4;8;8;1;1;3;3;4;0
Brassica repanda subsp. saxatilis (DC.) Heywood;4;4;8;7;3;2;6;3;4;0
Brassica tournefortii Gouan;4;5;8;8;3;3;8;4;7;0
Brimeura amethystina (L.) Chouard;5;5;9;8;5;2;2;3;2;0
Brimeura fastigiata (Viv.) Chouard;5;5;2;7;5;5;4;3;2;0
Briza maxima L.;3;3;2;9;4;1;8;3;3;0
Briza media L.;4;4;7;8;3;2;5;5;2;0
Briza media L. subsp. media;4;4;7;8;3;2;5;5;2;0
Briza minor L.;5;6;4;8;4;4;7;3;6;0
Bromopsis benekenii (Lange) Holub;5;5;7;5;3;2;6;4;6;0
Bromopsis erecta (Huds.) Fourr.;3;3;8;8;3;2;5;5;3;0
Bromopsis erecta (Huds.) Fourr. subsp. erecta;3;3;8;8;3;2;5;5;3;0
Bromopsis inermis (Leyss.) Holub;5;4;8;8;3;2;6;5;6;0
Bromopsis inermis (Leyss.) Holub subsp. inermis;5;4;8;8;3;2;6;5;6;0
Bromopsis pannonica (Kumm. & Sendtn.) Holub;3;4;8;8;3;2;6;7;3;0
Bromopsis pannonica subsp. monoclada (Domin) Holub;3;4;8;8;3;2;6;7;3;0
Bromopsis ramosa (Huds.) Holub;6;5;7;6;3;2;6;3;6;0
Bromopsis ramosa (Huds.) Holub subsp. ramosa;6;5;7;6;3;2;6;3;6;0
Bromus alopecuros Poir.;3;3;8;8;3;3;6;6;7;0
Bromus arvensis L. ;4;4;8;7;3;2;6;5;6;0
Bromus arvensis L. subsp. arvensis;4;4;8;7;3;2;6;5;6;0
Bromus commutatus Schrad. ;4;4;7;7;3;2;7;4;6;0
Bromus commutatus Schrad. subsp. commutatus;4;4;7;7;3;2;7;4;6;0
Bromus commutatus subsp. decipiens (Bomble & H.Scholz) H.Scholz;4;4;7;8;3;2;6;4;6;0
Bromus grossus Desf. ex DC.;3;5;7;8;3;2;7;7;7;0
Bromus grossus var. arduennensis (Lej.) Lej. & Courtois;4;4;8;8;3;2;6;4;7;0
Bromus hordeaceus L. ;4;4;5;7;3;3;6;5;6;0
Bromus hordeaceus L. subsp. hordeaceus;4;4;5;7;3;3;6;5;6;0
Bromus hordeaceus subsp. ferronii (Mabille) P.Sm.;5;5;7;9;4;1;6;3;5;5
Bromus hordeaceus subsp. longipedicellatus L.M.Spalton;4;4;7;8;4;3;6;3;5;0
Bromus hordeaceus subsp. molliformis (J.Lloyd ex Godr.) Maire & Weiller;3;3;4;9;4;1;8;3;3;0
Bromus hordeaceus subsp. thominei (Hardouin) Braun-Blanq.;5;4;5;8;4;1;6;2;6;0
Bromus intermedius Guss.;2;3;8;8;3;3;8;3;7;0
Bromus japonicus subsp. subsquarrosus (Borbás) Pénzes;4;4;7;8;3;3;6;4;6;0
Bromus japonicus Thunb. ;4;4;8;8;3;2;7;7;6;0
Bromus japonicus Thunb. subsp. japonicus;4;4;8;8;3;2;7;7;6;0
Bromus lanceolatus Roth;2;3;8;8;3;3;8;3;7;0
Bromus lepidus Holmb.;4;4;7;8;4;3;6;3;5;0
Bromus pseudothominei P.Sm.;5;4;6;9;4;3;6;2;5;0
Bromus racemosus L.;8;7;5;8;2;8;6;4;6;0
Bromus racemosus L. subsp. racemosus ;8;7;5;8;2;8;6;4;6;0
Bromus scoparius L. ;3;3;7;8;3;3;8;3;7;0
Bromus secalinus L.;4;4;7;8;3;2;6;4;6;0
Bromus squarrosus L.;4;4;8;8;3;3;7;6;6;0
Broussonetia papyrifera (L.) Vent.;4;4;7;8;2;3;8;4;6;0
Bryonia alba L.;6;5;7;6;2;3;5;7;6;0
Bryonia cretica L.;8;7;7;8;1;8;5;5;8;0
Bryonia dioica Jacq.;8;7;7;8;1;8;5;5;8;0
Bryonia dioica subsp. marmorata (E.Petit) J.M.Tison;6;5;6;6;3;2;8;3;5;0
Bryophyllum delagoense (Eckl. & Zeyh.) Schinz;4;3;5;9;8;1;9;1;4;0
Buddleja albiflora Hemsl.;4;5;7;7;2;3;6;4;7;0
Buddleja davidii Franch.;4;5;7;7;2;3;5;4;7;0
Bufonia paniculata Dubois ex Delarbre;3;3;8;8;3;2;6;4;3;0
Bufonia perennis Pourr.;4;4;5;7;8;1;8;3;3;0
Bufonia tenuifolia L.;3;3;7;8;4;1;8;3;3;0
Buglossoides arvensis (L.) I.M.Johnst.;3;4;7;7;3;2;6;5;6;0
Buglossoides arvensis (L.) I.M.Johnst. subsp. arvensis;3;4;7;7;3;2;6;5;6;0
Buglossoides arvensis subsp. permixta (Jord.) R.Fern.;4;4;8;8;4;1;5;5;5;0
Buglossoides gastonii (Benth.) I.M.Johnst.;4;4;8;7;7;1;2;3;2;0
Buglossoides incrassata (Guss.) I.M.Johnst.;3;3;8;8;7;2;6;3;3;0
Buglossoides incrassata subsp. splitgerberi (Guss.) E.Zippel & Selvi;3;3;8;8;7;2;6;3;3;0
Buglossoides purpurocaerulea (L.) I.M.Johnst.;4;4;8;6;3;2;7;5;4;0
Bunias erucago L.;4;4;8;8;3;2;7;4;7;0
Bunias orientalis L.;3;5;8;7;3;2;6;6;6;0
Bunium alpinum subsp. corydalinum (DC.) Nyman;6;5;3;7;4;4;6;2;2;0
Bunium alpinum Waldst. & Kit.;6;5;3;7;4;4;6;2;2;0
Bunium bulbocastanum L.;4;4;8;7;3;2;7;4;6;0
Bunium bulbocastanum L. var. bulbocastanum;4;4;8;7;3;2;7;4;6;0
Bunium bulbocastanum var. nanum Cariot & St.-Lag.;5;5;8;7;3;2;1;8;6;0
Bunium pachypodum P.W.Ball;4;4;8;7;3;2;8;4;6;0
Buphthalmum salicifolium L. ;5;5;8;5;3;2;3;7;4;0
Bupleurum alpigenum Jord. & Fourr.;5;5;6;6;3;3;3;6;4;0
Bupleurum angulosum L.;4;4;5;5;7;1;5;3;2;0
Bupleurum baldense Turra;3;4;9;9;3;2;6;3;2;0
Bupleurum corsicum Coss. & Kralik;6;5;3;7;4;4;6;2;2;0
Bupleurum falcatum L.;3;4;8;6;3;2;6;6;3;0
Bupleurum falcatum L. subsp. falcatum;3;4;8;6;3;2;6;6;3;0
Bupleurum fruticosum L.;5;4;5;7;4;4;8;3;5;0
Bupleurum gerardi All.;3;3;7;8;3;2;7;4;2;0
Bupleurum lancifolium Hornem.;4;4;8;8;3;2;8;3;6;0
Bupleurum longifolium L.;5;4;8;5;3;2;3;7;5;0
Bupleurum longifolium L. subsp. longifolium;5;4;8;5;3;2;3;7;5;0
Bupleurum odontites L.;3;3;7;8;3;2;8;4;2;0
Bupleurum petraeum L.;5;5;8;8;7;1;2;8;3;0
Bupleurum praealtum L.;4;4;8;8;3;2;6;4;6;0
Bupleurum ranunculoides L. ;4;4;8;8;7;1;2;5;3;0
Bupleurum ranunculoides L. subsp. ranunculoides;4;4;8;8;7;1;2;5;3;0
Bupleurum ranunculoides L. subsp. ranunculoides var. ranunculoides;5;5;9;9;3;2;2;5;3;0
Bupleurum ranunculoides subsp. ranunculoides var. gramineum (Vill.) Lapeyr. ex Briq.;5;3;8;7;3;2;3;5;4;0
Bupleurum ranunculoides subsp. telonense (Gren. ex Timb.-Lagr.) H.J.Coste;3;4;8;7;3;2;6;6;2;0
Bupleurum rigidum L.;3;4;8;8;3;2;8;3;3;0
Bupleurum rigidum L. subsp. rigidum;3;4;8;8;3;2;8;3;3;0
Bupleurum rotundifolium L.;3;4;9;8;3;2;6;5;5;0
Bupleurum semicompositum L.;3;4;8;8;3;2;8;4;3;0
Bupleurum stellatum L.;4;3;3;8;5;5;2;7;3;0
Bupleurum subovatum Link ex Spreng.;4;4;8;8;3;2;7;4;6;0
Bupleurum tenuissimum L. ;3;4;8;8;3;2;7;4;3;0
Bupleurum tenuissimum L. subsp. tenuissimum;3;4;8;8;3;2;7;4;3;0
Bupleurum virgatum Cav.;5;4;6;6;4;2;6;5;7;0
Butomus umbellatus L.;9;10;7;7;1;8;5;5;6;0
Butomus umbellatus L. écoph. rhéophile;9;12;6;7;2;8;6;4;6;0
Buxus sempervirens L.;3;4;8;5;3;2;7;4;4;0
Cabomba caroliniana A.Gray;9;12;5;7;4;8;8;5;6;0
Cakile maritima Scop. ;8;6;7;9;4;1;8;1;7;7
Cakile maritima Scop. subsp. maritima;7;5;8;9;4;1;8;1;8;7
Cakile maritima subsp. integrifolia (Hornem.) Hyl. ex Greuter & Burdet;7;5;8;9;4;1;6;1;8;7
Calamagrostis arundinacea (L.) Roth;5;5;4;5;4;4;3;6;5;0
Calamagrostis canescens (Weber) Roth;8;8;6;8;1;9;4;6;5;0
Calamagrostis canescens (Weber) Roth subsp. canescens;8;8;6;8;1;9;4;6;5;0
Calamagrostis epigejos (L.) Roth;6;6;5;7;4;3;5;5;6;1
Calamagrostis epigejos (L.) Roth subsp. epigejos;6;6;5;7;4;3;5;5;6;1
Calamagrostis neglecta (Ehrh.) G.Gaertn., B.Mey. & Scherb.;8;9;6;8;1;9;3;7;2;0
Calamagrostis neglecta (Ehrh.) G.Gaertn., B.Mey. & Scherb. subsp. neglecta;8;9;6;8;1;9;3;7;2;0
Calamagrostis phragmitoides Hartm.;7;6;7;7;2;8;2;7;5;0
Calamagrostis pseudophragmites (Haller f.) Koeler;5;5;9;8;3;1;6;6;4;0
Calamagrostis varia (Schrad.) Host;6;6;8;7;3;3;3;4;3;0
Calamagrostis varia (Schrad.) Host subsp. varia;6;6;8;7;3;3;3;4;3;0
Calamagrostis varia subsp. corsica (Hack.) Rouy;6;6;6;6;4;4;2;3;5;0
Calamagrostis villosa (Chaix) J.F.Gmel.;5;6;3;6;4;4;3;7;4;0
Calamagrostis x bihariensis Simonk. [Calamagrostis epigejos (L.) Roth x Calamagrostis varia (Schrad.) Host subsp. varia];6;6;8;7;3;3;3;4;3;0
Caldesia parnassifolia (L.) Parl.;8;9;6;7;1;8;4;6;5;0
Calendula arvensis L.;5;4;8;7;3;2;7;4;6;0
Calendula officinalis L.;4;4;6;8;3;2;5;5;6;0
Calendula stellata Cav.;4;4;8;8;3;2;7;4;6;0
Calendula tripterocarpa Rupr.;4;4;7;8;3;2;8;3;7;0
Calepina irregularis (Asso) Thell.;4;4;8;7;4;3;7;4;5;0
Calla palustris L.;9;9;6;6;1;9;4;6;4;0
Callianthemum coriandrifolium Rchb.;7;6;5;8;6;7;2;3;3;0
Callitriche brutia Petagna;9;11;7;8;1;8;6;5;5;1
Callitriche brutia Petagna écoph. annuel terrestre;9;11;7;8;1;8;6;5;5;1
Callitriche brutia Petagna écoph. vivace stagnophile;9;11;7;8;1;8;6;5;5;1
Callitriche cophocarpa Sendtn. ;9;11;7;8;1;8;5;6;5;0
Callitriche cophocarpa Sendtn. écoph. vivace rhéophile;9;12;5;7;2;8;5;6;6;0
Callitriche cophocarpa Sendtn. écoph. vivace stagnophile;9;11;7;8;1;8;4;6;5;0
Callitriche hamulata Kütz. ex W.D.J.Koch;9;11;4;8;2;8;4;5;5;0
Callitriche hamulata Kütz. ex W.D.J.Koch écoph. vivace rhéophile;9;12;4;7;2;8;5;5;6;0
Callitriche hamulata Kütz. ex W.D.J.Koch écoph. vivace stagnophile;9;11;4;8;2;8;5;5;5;0
Callitriche lenisulca Clavaud;9;11;8;8;4;8;7;2;6;8
Callitriche obtusangula Le Gall;9;11;7;8;1;8;5;5;7;0
Callitriche obtusangula Le Gall écoph. vivace rhéophile;9;12;6;7;2;8;5;5;6;0
Callitriche obtusangula Le Gall écoph. vivace stagnophile;9;11;7;8;1;8;5;5;7;0
Callitriche palustris L.;9;11;5;7;2;8;5;5;5;0
Callitriche palustris L. écoph. annuel terrestre;8;8;5;4;1;3;4;5;5;0
Callitriche palustris L. écoph. vivace rhéophile;9;11;5;7;2;8;5;5;5;0
Callitriche palustris L. écoph. vivace stagnophile;9;11;5;7;2;8;5;5;5;0
Callitriche platycarpa Kütz.;9;11;7;8;1;8;5;5;7;0
Callitriche platycarpa Kutz. écoph. vivace rhéophile;9;12;6;7;2;8;5;5;6;0
Callitriche platycarpa Kutz. écoph. vivace stagnophile;9;11;7;8;1;8;5;5;7;0
Callitriche stagnalis Scop.;9;11;5;5;1;8;5;5;7;0
Callitriche stagnalis Scop. écoph. annuel terrestre;8;8;6;4;2;3;5;5;6;0
Callitriche stagnalis Scop. écoph. vivace rhéophile;9;12;6;7;2;8;5;5;6;0
Callitriche stagnalis Scop. écoph. vivace stagnophile;9;11;5;5;1;8;5;5;7;0
Callitriche truncata Guss.;9;11;5;8;1;8;6;3;5;0
Callitriche truncata Guss. subsp. truncata;9;11;5;8;1;8;6;4;5;0
Callitriche truncata subsp. occidentalis (Rouy) Braun-Blanq.;9;11;5;8;1;8;6;3;5;0
Calluna vulgaris (L.) Hull;5;5;3;6;4;6;5;5;3;0
Calocedrus decurrens (Torr.) Florin;5;5;5;7;4;3;5;5;5;0
Caltha palustris L. ;9;8;5;4;1;9;5;5;6;0
Camelina alyssum (Mill.) Thell. ;5;5;6;7;3;2;6;4;5;0
Camelina microcarpa Andrz. ex DC. ;5;4;8;7;3;2;7;4;6;0
Camelina rumelica Velen.;4;4;6;8;3;3;6;5;6;0
Camelina sativa (L.) Crantz;5;4;8;7;3;2;7;4;6;0
Camelina sativa (L.) Crantz var. sativa;5;4;8;7;3;2;7;4;6;0
Camelina sativa var. pilosa DC.;5;4;8;7;3;2;7;4;6;0
Campanula albicans (Buser) Engl.;5;5;8;7;8;1;3;6;3;0
Campanula alliariifolia Willd.;4;4;8;6;3;2;4;8;3;0
Campanula alpestris All.;4;4;8;7;6;1;2;8;2;0
Campanula barbata L.;6;5;1;7;3;4;2;4;2;0
Campanula baumgartenii Becker;5;5;5;6;3;4;5;7;3;0
Campanula bononiensis L.;4;4;8;7;3;2;6;6;3;0
Campanula cenisia L.;4;4;8;7;1;1;1;8;3;0
Campanula cervicaria L.;4;5;8;6;3;2;6;5;4;0
Campanula cochleariifolia Lam.;7;7;8;8;6;1;1;5;3;0
Campanula erinus L.;3;4;8;8;2;2;8;3;5;0
Campanula fritschii Witasek;5;5;8;6;1;2;3;7;4;0
Campanula glomerata L.;4;4;7;7;3;2;5;6;3;0
Campanula glomerata L. subsp. glomerata;4;4;7;7;3;2;5;6;3;0
Campanula glomerata subsp. farinosa (Andrz.) Kirschl.;4;4;8;7;3;2;3;9;3;0
Campanula jaubertiana Timb.-Lagr.;5;5;8;7;8;1;1;3;3;0
Campanula latifolia L.;7;6;7;5;2;8;2;7;6;0
Campanula medium L.;5;4;7;5;3;2;3;4;4;0
Campanula patula L.;7;5;5;8;3;2;4;5;5;0
Campanula patula var. costae (Willk.) O.Bolòs & Vigo;5;4;4;7;8;4;3;5;2;0
Campanula persicifolia L.;5;4;8;6;3;2;5;6;4;0
Campanula portenschlagiana Schult.;4;5;5;5;9;1;5;5;6;0
Campanula poscharskyana Degen;4;5;5;5;9;1;5;5;6;0
Campanula precatoria Timb.-Lagr.;5;5;5;7;7;1;2;3;3;0
Campanula pyramidalis L.;5;5;7;5;9;1;6;5;6;0
Campanula rapunculoides L. ;5;5;7;6;3;3;5;6;4;0
Campanula rapunculus L. ;5;5;8;6;3;2;5;6;4;0
Campanula rhomboidalis L.;7;5;6;7;3;3;3;6;5;0
Campanula rotundifolia L. ;5;4;4;5;8;4;5;5;2;0
Campanula rotundifolia L. subsp. rotundifolia;5;4;4;5;8;4;5;5;2;0
Campanula rotundifolia subsp. hispanica (Willk.) Rivas Goday & Borja ex O.Bolòs & Vigo;5;5;5;7;8;1;2;3;2;0
Campanula rotundifolia subsp. macrorhiza (J.Gay ex A.DC.) Bonnier & Layens;4;4;8;8;8;1;8;3;4;0
