F0101;Glaciers blancs, noirs et pierreux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0402;Éboulis carbonatés d'éléments fins à moyens mobiles, à tabouret à feuilles rondes (Noccaea rotundifolia), des étages subalpin et alpin;Allium narcissiflorum;Anemone baldensis;Arabis alpina;Berardia lanuginosa;Brassica repanda subsp. repanda;Campanula alpestris;Campanula cenisia;Carduus aurosicus;Cerastium latifolium;Coristospermum ferulaceum;Crepis pygmaea;Doronicum grandiflorum;Galium megalospermum;Galium pseudohelveticum;Galium saxosum;Heracleum pumilum;Iberis aurosica;Iberis nana;Linaria alpina;Moehringia ciliata;Noccaea rotundifolia;Papaver alpinum;Poa cenisia;Poa minor;Ranunculus parnassifolius;Ranunculus seguieri;Saussurea depressa;Saxifraga oppositifolia;Scorzoneroides montana;Silene vulgaris subsp. prostrata;Trisetum distithophyllum;Viola cenisia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0403;Éboulis et alluvions carbonatés humides d'éléments fins à moyens, à pétasite paradoxa (Petasites paradoxus), des étages montagnard et subalpin;Adenostyles alpina;Arabis alpina;Athamanta cretensis;Campanula alpestris;Carduus aurosicus;Carduus defloratus;Coristospermum ferulaceum;Doronicum grandiflorum;Gymnocarpium robertianum;Gypsophila repens;Leontodon hispidus subsp. hyoseroides;Noccaea rotundifolia;Petasites paradoxus;Poa cenisia;Ranunculus seguieri;Silene vulgaris subsp. prostrata;Tolpis staticifolia;Trisetum distithophyllum;Tussilago farfara;Valeriana montana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0404;Éboulis carbonatés d'éléments moyens mobiles à scrophulaire Jura (Scrophularia canina subsp. hoppii), des étages montagnard et subalpin inférieur;Anthriscus sylvestris subsps. alpina;Arabis alpina;Athamanta cretensis;Campanula cochleariifolia;Campanula rotundifolia;Centranthus angustifolius;Erinus alpinus;Galeopsis angustifolia;Galium album;Geranium robertianum;Gymnocarpium robertianum;Helleborus foetidus;Laserpitium siler;Linaria alpina;Linaria repens;Rumex scutatus;Scrophularia canina subsp. hoppii;Senecio doronicum;Silene vulgaris;Teucrium chamaedrys;Valeriana montana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0405;Éboulis thermophiles carbonatés d'éléments fins à moyens à calamagrostide argentée (Achnatherum calamagrostis), des étages supraméditerranéen à montagnard;Achnatherum calamagrostis;Campanula alpestris;Centranthus angustifolius;Cephalaria leucantha;Chaenorrhinum minus;Chamaenerion dodonaei;Epipactis atrorubens;Erysimum ochroleucum;Galeopsis angustifolia;Helleborus foetidus;Iberis intermedia subsp. beugesiaca;Iberis intermedia subsp. violletii;Laserpitium gallicum;Laserpitium siler;Ptychotis saxifraga;Reseda lutea;Reseda phyteuma;Rumex scutatus;Scrophularia canina subsp. hoppii;Silene vulgaris subsp. prostrata;Valeriana montana;Valeriana rotundifolia;Vincetoxicum hirundinaria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0406;Éboulis et chaos de gros blocs calcaires stabilisés et lapiés riches en fougères, des étages montagnard à subalpin;Aconitum lycoctonum subsp. neapolitanum;Adenostyles alliariae;Arabis alpina;Asplenium viride;Athyrium filix-femina;Bellidiastrum michelii;Cardamine heptaphylla;Cystopteris fragilis;Cystopteris montana;Daphne mezereum;Dryopteris filix-mas;Dryopteris villarii;Epilobium alpestre;Geranium robertianum;Gymnocarpium robertianum;Heracleum sphondylium subsp. elegans;Moehringia muscosa;Oxalis acetosella;Polygonatum verticillatum;Polystichum aculeatum;Polystichum lonchitis;Valeriana montana;Valeriana tripteris;Viola biflora;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0407;Éboulis grossiers et chaos de blocs siliceux de basse et moyenne altitudes à grandes fougères (Dryopteris filix-mas, Athyrium filix-femina...);Asplenium septentrionale;Asplenium trichomanes;Asplenium x-alternifolium;Athyrium filix-femina;Dryopteris affinis subsp. borreri;Dryopteris affinis subsp. cambrensis;Dryopteris dilatata;Dryopteris filix-mas;Chamaenerion angustifolium;Geranium robertianum;Gymnocarpium dryopteris;Hylotelephium anacampseros;Phegopteris connectilis;Poa nemoralis var. glauca;Polypodium vulgare;Polystichum aculeatum;Polystichum lonchitis;Rubus idaeus;Rumex scutatus;Sambucus racemosa;Sempervivum montanum;Urtica dioica;Valeriana tripteris;Woodsia ilvensis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0408;Éboulis grossiers et chaos de blocs siliceux subalpins à alpins à allosore crépu (Cryptogramma crispa) et autres fougères;Agrostis schraderiana;Alnus alnobetula;Athyrium distentifolium;Athyrium filix-femina;Avenella flexuosa;Cryptogramma crispa;Dryopteris affinis subsp. cambrensis;Dryopteris filix-mas;Geranium sylvaticum;Gymnocarpium dryopteris;Imperatoria ostruthium;Luzula alpino-pilosa;Phegopteris connectilis;Polystichum lonchitis;Rhamnus alpina;Rhododendron ferrugineum;Rubus idaeus;Rumex alpinus;Sambucus racemosa;Sedum alpestre;Sempervivum montanum;Vaccinium myrtillus;Vaccinium uliginosum;Veratrum album;Viola biflora;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0409;Éboulis silicatés thermophiles d'éléments moyens mobiles à épilobe des collines (Epilobium collinum) et à framboisier (Rubus idaeus), des étages montagnard et subalpin;Alyssoides utriculata;Asplenium septentrionale;Asplenium trichomanes;Cardamine resedifolia;Coincya monensis subsp. cheiranthos;Dictamnus albus;Digitalis lutea;Dracocephalum austriacum;Chamaenerion angustifolium;Epilobium collinum;Galeopsis ladanum;Geranium sanguineum;Hylotelephium anacampseros;Jacobae leucophylla;Rubus idaeus;Rumex scutatus;Sedum album;Sedum annuum;Sedum montanum;Sempervivum montanum;Senecio viscosus;Teucrium scorodonia;Vincetoxicum hirundinaria;Woodsia alpina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0410;Éboulis et débris rocheux siliceux mobiles des étages subalpin et alpin;Achillea nana;Adenostyles leucophylla;Androsace alpina;Arabis alpina;Arenaria biflora;Armeria alpina;Cardamine plumieri;Cardamine resedifolia;Cerastium pedunculatum;Cerastium uniflorum;Cirsium spinosissimum;Cryptogramma crispa;Doronicum grandiflorum;Epilobium anagallidifolium;Geum reptans;Hornungia alpina;Imperatoria ostruthium;Jacobaea uniflora;Leucanthemopsis alpina;Linaria alpina;Luzula alpino-pilosa;Murbeckiella pinnatifida;Oxyria digyna;Poa alpina;Poa laxa;Ranunculus glacialis;Saxifraga bryoides;Saxifraga exarata;Saxifraga oppositifolia;Sedum alpestre;Veronica alpina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0411;Moraines actives ou peu stabilisées des étages subalpin et alpin;Achillea nana;Adenostyles leucophylla;Androsace alpina;Androsace pubescens;Arenaria biflora;Armeria alpina;Artemisia genipi;Artemisia umbelliformis;Campanula cenisia;Cerastium pedunculatum;Erigeron uniflorus;Festuca halleri;Festuca laevigata;Festuca violacea;Geum reptans;Gnaphalium supinum;Herniaria alpina;Jacobaea incana;Leucanthemopsis alpina;Lotus corniculatus subsp. alpinus;Luzula alpino-pilosa;Minuartia verna;Murbeckiella pinnatifida;Myosotis alpestris;Pilosella peleteriana;Poa alpina;Poa laxa;Ranunculus glacialis;Salix herbacea;Salix retusa;Saxifraga bryoides;Saxifraga oppositifolia;Sedum alpestre;Silene acaulis subsp. bryoides;Trifolium thalii;Trisetum spicatum:subsp. ovatipaniculatum;Veronica alpina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
